MATERIAL_NAME,SHELF_LIFE_IN_MONTH,DOWNGRADE_VALUE_AVG_MT,POLYMER_TYPE,value,radius,Cluster,Cluster_Name
MAT-0004,3,3717.225352513887,P-002,23.72,20.00019688977015,0,Critical Material
MAT-0008,3,2590.08,P-002,0.48,20.000003984278653,0,Critical Material
MAT-0013,3,2687.5007720759118,P-002,496298.56,24.119566163783798,0,Critical Material
MAT-0017,6,2846.633156543492,P-002,6503.76,20.0539849836223,0,Critical Material
MAT-0047,3,2559.0247739829174,P-002,288881.46,22.397883822109947,0,Critical Material
MAT-0082,3,2559.035408998765,P-002,563698.4,24.67902396335598,0,Critical Material
MAT-0117,3,3898.645007166746,P-002,56.88,20.0004721370205,0,Critical Material
MAT-0142,6,3717.004673045237,P-002,1304193.28,30.825561346223147,0,Critical Material
MAT-0144,5,2655.000246291629,P-002,7193305.6,79.70861240362355,0,Critical Material
MAT-0145,6,3225.001770632979,P-002,24094700.28,220.0,0,Critical Material
MAT-0153,4,2277.000638596212,P-001,649604.5599999999,25.392094962386473,0,Critical Material
MAT-0159,4,3740.0,P-002,450.01,20.003735344243925,0,Critical Material
MAT-0160,5,2425.583475126926,P-002,119.98,20.000995903651887,0,Critical Material
MAT-0166,4,3772.764873586768,P-002,105.77,20.00087795240257,0,Critical Material
MAT-0176,6,3816.0,P-002,13961.42,20.115887891011358,0,Critical Material
MAT-0196,4,2985.583017501838,P-002,80626.35,20.66924551094686,0,Critical Material
MAT-0201,4,3717.015511424164,P-002,186336.36,21.546699961689665,0,Critical Material
MAT-0206,4,4381.000375233715,P-002,205337.32,21.704418960300924,0,Critical Material
MAT-0216,5,4604.9073917074,P-002,37.04,20.0003074535028,0,Critical Material
MAT-0218,4,2205.0127659574464,P-001,29781.195000000003,20.247201207351978,0,Critical Material
MAT-0254,4,2552.0,P-002,43.0,20.000356924962755,0,Critical Material
MAT-0263,5,2028.0,P-001,27243.02,20.226132881367388,0,Critical Material
MAT-0270,5,3369.516212175821,P-002,470872.56000000006,23.908515603249498,0,Critical Material
MAT-0279,3,2502.435185185185,P-002,27.03,20.000224364691704,0,Critical Material
MAT-0281,3,2503.4667810413107,P-002,65.12,20.00054053380406,0,Critical Material
MAT-0283,8,3954.764676534176,P-002,0.0,20.0,0,Critical Material
MAT-0286,6,4605.0,P-002,180.0,20.001494104495247,0,Critical Material
MAT-0290,6,3587.5,P-002,0.0,20.0,0,Critical Material
MAT-0314,4,4182.500500511087,P-002,1244953.8,30.333839271977862,0,Critical Material
MAT-0322,4,2705.026891062676,P-001,370870.5,23.07844045113808,0,Critical Material
MAT-0324,3,3395.03173819156,P-002,26326.239999999998,20.218523075149868,0,Critical Material
MAT-0328,6,3794.847221285801,P-002,619244.01,25.14008477220203,0,Critical Material
MAT-0339,7,3560.0,P-002,14124.5,20.117241549684053,0,Critical Material
MAT-0350,4,3121.279069767442,P-002,2.8,20.00002324162548,0,Critical Material
MAT-0358,4,3820.565217391305,P-002,11.82,20.000098112861856,0,Critical Material
MAT-0377,11,4732.447728395122,P-002,2080.2,20.017266867616748,0,Critical Material
MAT-0389,5,4705.965643152787,P-002,2011782.1600000001,36.69895982619793,0,Critical Material
MAT-0426,5,2824.0,P-002,101209.5,20.84009760506554,0,Critical Material
MAT-0429,3,3762.705882352941,P-002,13.700000000000001,20.000113717953248,0,Critical Material
