MATERIAL_NAME,SHELF_LIFE_IN_MONTH,DOWNGRADE_VALUE_AVG_MT,POLYMER_TYPE,value,radius,Cluster,Cluster_Name
MAT-0005,5,300.0,P-002,36.089999999999996,20.000535724347245,0,Critical Material
MAT-0050,6,342.0205107860154,P-001,36887.04,20.54755570589682,0,Critical Material
MAT-0090,5,499.5,P-002,0.0,20.0,0,Critical Material
MAT-0100,5,309.0540827713053,P-001,8884.15,20.131877402592977,0,Critical Material
MAT-0101,3,255.0,P-001,7149.089999999999,20.10612196103211,0,Critical Material
MAT-0103,5,210.0385026737968,P-001,2573.64,20.038203425022022,0,Critical Material
MAT-0110,6,266.26329787234044,P-001,887.5,20.013174157888066,0,Critical Material
MAT-0135,3,412.5069854906607,P-001,4075.5,20.060497217434158,0,Critical Material
MAT-0139,4,552.0,P-002,0.0,20.0,0,Critical Material
MAT-0141,2,427.4989954397301,P-001,1004.4,20.0149094356989,0,Critical Material
MAT-0146,5,301.4951938714148,P-001,886654.4299999999,33.16160614419567,0,Critical Material
MAT-0153,4,294.0218181818182,P-001,649604.5599999999,29.642809057180852,0,Critical Material
MAT-0163,2,263.751425313569,P-001,13305.6,20.197509943882206,0,Critical Material
MAT-0179,6,267.00320855614973,P-001,59.0,20.000875803172278,0,Critical Material
MAT-0186,6,265.0199611921638,P-002,868.8,20.01289657281482,0,Critical Material
MAT-0194,2,255.0230414746544,P-001,2.8499999999999996,20.000042305746458,0,Critical Material
MAT-0241,5,272.0224719101123,P-002,1.38,20.00002048488776,0,Critical Material
MAT-0260,5,324.0,P-001,3.69,20.00005477480857,0,Critical Material
MAT-0274,4,231.00779220779225,P-001,0.5,20.000007422060783,0,Critical Material
MAT-0289,6,400.5,P-002,0.0,20.0,0,Critical Material
MAT-0321,3,245.0,P-001,2739193.6,60.6609227857819,0,Critical Material
MAT-0322,4,286.50623885918003,P-001,370870.5,25.50524678650838,0,Critical Material
MAT-0340,3,244.602286459308,P-001,2767589.96,61.08244180559753,0,Critical Material
MAT-0344,4,489.6010814659543,P-001,49500.0,20.734784017418924,0,Critical Material
MAT-0369,5,245.03,P-002,607.86,20.009023147733906,0,Critical Material
MAT-0374,3,530.555699579346,P-001,144599.13,22.146447063771337,0,Critical Material
MAT-0381,6,274.0000673536741,P-001,284128.77499999997,24.217642075935704,0,Critical Material
MAT-0393,5,442.5050505050505,P-001,1049.31,20.01557608519834,0,Critical Material
MAT-0396,2,303.00156220028026,P-001,1315.215,20.019523211342822,0,Critical Material
MAT-0412,4,486.0,P-001,4.2,20.000062345310567,0,Critical Material
MAT-0419,3,306.9209086432423,P-001,20532.350000000002,20.30478469939498,0,Critical Material
MAT-0426,5,582.9999999999999,P-002,101209.5,21.502366121433546,0,Critical Material
MAT-0428,2,262.52048526149457,P-001,1014809.62,35.06395736361558,0,Critical Material
