MATERIAL_NAME,POLYMER_TYPE,SHELF_LIFE_IN_MONTH,DOWNGRADE_VALUE_LOST_PERCENT,AVERAGE_PRICE_MT,DOWNGRADE_VALUE_AVG_MT
MAT-0001,P-002,3,40,12030.032644345565,4812.013057738226
MAT-0002,P-001,8,15,7590.002156951947,1138.500323542792
MAT-0003,P-004,2,35,929.9961269018872,325.4986444156605
MAT-0004,P-002,3,35,10620.643864325391,3717.2253525138867
MAT-0005,P-002,5,20,7120.0,1424.0
MAT-0006,P-002,8,20,7590.12987012987,1518.025974025974
MAT-0007,P-001,2,10,2090.00720865488,209.00072086548798
MAT-0008,P-002,3,20,12950.4,2590.08
MAT-0009,P-002,5,40,3140.0,1256.0
MAT-0010,P-002,5,50,0.0,0.0
MAT-0011,P-001,3,5,2310.007714296688,115.5003857148344
MAT-0012,P-001,2,15,2270.020202020202,340.50303030303024
MAT-0013,P-002,3,25,10750.003088303645,2687.5007720759113
MAT-0014,P-001,3,20,0.0,0.0
MAT-0015,P-001,8,20,92714.51213309313,18542.902426618628
MAT-0016,P-001,5,5,0.0,0.0
MAT-0017,P-002,6,30,9488.777188478307,2846.633156543492
MAT-0018,P-001,4,15,4560.0,684.0
MAT-0019,P-002,7,30,3959.9999999999995,1187.9999999999998
MAT-0020,P-001,3,5,7589.879931389365,379.49399656946827
MAT-0021,P-001,4,20,3740.048484848485,748.009696969697
MAT-0022,P-002,8,30,0.0,0.0
MAT-0023,P-001,5,15,0.0,0.0
MAT-0024,P-001,5,15,0.0,0.0
MAT-0025,P-001,5,20,0.0,0.0
MAT-0026,P-001,7,30,0.0,0.0
MAT-0027,P-001,4,20,4560.0,912.0
MAT-0028,P-002,10,45,0.0,0.0
MAT-0029,P-001,3,20,0.0,0.0
MAT-0030,P-001,4,5,0.0,0.0
MAT-0031,P-001,4,5,0.0,0.0
MAT-0032,P-002,11,20,3960.0000000000005,792.0000000000001
MAT-0033,P-002,6,35,869.9721745903436,304.4902611066202
MAT-0034,P-001,8,10,0.0,0.0
MAT-0035,P-002,6,25,3960.0,990.0
MAT-0036,P-001,5,25,5570.005317410056,1392.501329352514
MAT-0037,P-001,3,15,2040.0,306.0
MAT-0038,P-001,4,20,7417.496925193187,1483.4993850386375
MAT-0039,P-002,7,25,0.0,0.0
MAT-0040,P-001,3,10,6466.9629629629635,646.6962962962964
MAT-0041,P-001,2,10,0.0,0.0
MAT-0042,P-001,5,25,4300.0,1075.0
MAT-0043,P-002,11,40,0.0,0.0
MAT-0044,P-001,6,5,0.0,0.0
MAT-0045,P-002,10,30,0.0,0.0
MAT-0046,P-001,5,5,6429.998493094381,321.49992465471905
MAT-0047,P-002,3,30,8530.082579943059,2559.0247739829174
MAT-0048,P-001,3,10,0.0,0.0
MAT-0049,P-001,5,10,11112.104499274312,1111.2104499274312
MAT-0050,P-001,6,30,4509.995874178426,1352.9987622535277
MAT-0051,P-003,8,25,0.0,0.0
MAT-0052,P-001,4,5,3740.0,187.0
MAT-0053,P-001,2,20,7589.969458889844,1517.9938917779687
MAT-0054,P-001,2,25,0.0,0.0
MAT-0055,P-001,2,10,2620.028504697334,262.0028504697334
MAT-0056,P-001,3,5,5550.011474915931,277.5005737457966
MAT-0057,P-001,6,20,7590.0,1518.0
MAT-0058,P-002,11,25,4941.273779983457,1235.3184449958642
MAT-0059,P-001,3,5,0.0,0.0
MAT-0060,P-001,8,30,4030.0060606060606,1209.0018181818182
MAT-0061,P-002,11,40,930.020202020202,372.00808080808076
MAT-0062,P-001,7,30,0.0,0.0
MAT-0063,P-001,2,10,0.0,0.0
MAT-0064,P-002,9,40,3960.0,1584.0
MAT-0065,P-001,4,25,2670.010490411959,667.5026226029897
MAT-0066,P-002,12,45,6760.0,3042.0
MAT-0067,P-001,8,20,2230.020202020202,446.0040404040403
MAT-0068,P-001,6,20,330.020202020202,66.00404040404041
MAT-0069,P-001,4,5,6689.96293119878,334.49814655993896
MAT-0070,P-001,7,15,2000.0,300.0
MAT-0071,P-001,5,15,3030.0112271270264,454.50168406905397
MAT-0072,P-001,6,10,0.0,0.0
MAT-0073,P-003,8,35,0.0,0.0
MAT-0074,P-001,6,15,0.0,0.0
MAT-0075,P-002,12,30,0.0,0.0
MAT-0076,P-001,3,15,0.0,0.0
MAT-0077,P-001,3,25,0.0,0.0
MAT-0078,P-001,3,5,0.0,0.0
MAT-0079,P-001,5,5,0.0,0.0
MAT-0080,P-001,8,25,0.0,0.0
MAT-0081,P-002,5,45,0.0,0.0
MAT-0082,P-002,3,30,8530.118029995885,2559.0354089987654
MAT-0083,P-002,10,25,7590.26455026455,1897.5661375661375
MAT-0084,P-001,3,30,4300.0006501130865,1290.000195033926
MAT-0085,P-001,8,25,2040.0,510.0
MAT-0086,P-001,6,10,7590.0,759.0
MAT-0087,P-001,3,20,4668.410499227997,933.6820998455994
MAT-0088,P-002,11,20,0.0,0.0
MAT-0089,P-001,4,5,0.0,0.0
MAT-0090,P-002,5,45,0.0,0.0
MAT-0091,P-002,9,25,3960.0,990.0
MAT-0092,P-001,4,20,3298.0862271011497,659.6172454202299
MAT-0093,P-001,6,10,0.0,0.0
MAT-0094,P-002,11,25,930.0,232.5
MAT-0095,P-002,9,45,0.0,0.0
MAT-0096,P-001,6,5,4560.0,228.0
MAT-0097,P-001,7,25,7590.0037739916115,1897.5009434979029
MAT-0098,P-001,5,10,2230.0331566800915,223.00331566800915
MAT-0099,P-001,6,20,4316.8542513317325,863.3708502663466
MAT-0100,P-001,5,30,6040.0,1812.0
MAT-0101,P-001,3,25,7590.001346801347,1897.5003367003367
MAT-0102,P-002,5,40,13480.0,5392.0
MAT-0103,P-001,5,30,2799.9999999999995,839.9999999999999
MAT-0104,P-001,6,15,2040.0,306.0
MAT-0105,P-001,3,15,4560.0,684.0
MAT-0106,P-001,6,10,7589.99590103938,758.9995901039381
MAT-0107,P-002,3,35,3930.0,1375.5
